City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Rudnichnyy,RU,59.617,52.4703,52.14,95,100,6.42,overcast clouds
296,Coxim,BR,-18.5067,-54.76,84.87,25,40,4.92,scattered clouds
297,Maldonado,UY,-34.6667,-54.9167,61.23,85,82,5.97,broken clouds
298,Ponta Do Sol,PT,32.6667,-17.1,73.0,67,98,6.76,overcast clouds
299,Desnogorsk,RU,54.1508,33.2815,46.13,75,67,5.21,broken clouds
300,Raudeberg,NO,61.9875,5.1352,54.27,1,10,1.54,clear sky
301,Gimli,CA,50.6336,-96.9907,82.42,47,2,9.22,clear sky
302,San Benedetto Del Tronto,IT,42.9456,13.8816,75.06,75,92,3.49,overcast clouds
303,Tuktoyaktuk,CA,69.4541,-133.0374,66.2,52,40,10.36,scattered clouds
304,Saskylakh,RU,71.9167,114.0833,39.58,96,100,12.57,light rain
305,Barra Do Garcas,BR,-15.89,-52.2567,82.81,28,11,3.2,few clouds
306,Canaries,ES,28.0,-15.5,67.96,83,20,20.71,few clouds
307,Russkaya Polyana,UA,49.417,31.9201,57.02,75,20,5.61,few clouds
308,Kasongo-Lunda,CD,-6.4667,16.8167,72.93,82,62,2.01,light rain
309,Billings,US,45.7833,-108.5007,98.67,13,20,8.05,few clouds
310,Nichinan,JP,31.6,131.3667,80.28,82,69,3.24,light rain
311,Mamallapuram,IN,12.6264,80.1722,78.85,83,78,2.98,broken clouds
312,Gidole,ET,5.65,37.3667,60.35,61,96,4.12,overcast clouds
313,Sitka,US,57.0531,-135.33,62.49,67,0,5.75,clear sky
314,Solnechnyy,RU,50.7214,136.6319,61.27,82,17,5.82,few clouds
315,Caorle,IT,45.5966,12.8758,73.24,80,100,14.27,overcast clouds
316,Oyem,GA,1.5995,11.5793,67.84,96,41,3.91,scattered clouds
317,Quatre Cocos,MU,-20.2078,57.7625,62.71,77,16,3.53,few clouds
318,Dudinka,RU,69.4058,86.1778,38.62,96,15,7.02,few clouds
319,Namibe,AO,-15.1961,12.1522,64.17,86,60,10.6,broken clouds
320,Prado,BR,-17.3411,-39.2208,66.7,78,93,9.04,overcast clouds
