City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Kushmurun,KZ,2022-08-31 21:47:25,52.4503,64.6311,295.05,38,24,3.57
161,Zyryanovsk,KZ,2022-08-31 21:47:26,49.7386,84.2719,283.78,61,19,0.64
162,Khatassy,RU,2022-08-31 21:47:28,61.9036,129.6383,275.14,75,100,1.42
163,Dzerzhinsk,RU,2022-08-31 21:47:28,56.2389,43.4631,289.05,72,0,3.0
164,Tuktoyaktuk,CA,2022-08-31 21:47:29,69.4541,-133.0374,290.15,63,20,3.09
165,Cidreira,BR,2022-08-31 21:47:30,-30.1811,-50.2056,289.26,79,0,8.09
166,San Patricio,US,2022-08-31 21:47:31,28.017,-97.5169,305.12,54,100,5.16
167,Kisanga,TZ,2022-08-31 21:47:32,-7.4362,37.7034,296.0,69,47,2.01
168,Saldanha,ZA,2022-08-31 21:47:33,-33.0117,17.9442,293.18,62,44,5.44
169,Jawhar,SO,2022-08-31 21:47:34,2.7809,45.5005,296.56,81,85,7.56
170,Tasiilaq,GL,2022-08-31 21:47:35,65.6145,-37.6368,278.24,97,98,3.66
171,Kangasala,FI,2022-08-31 21:47:36,61.4638,24.076,281.66,74,30,4.6
172,Vestmanna,FO,2022-08-31 21:47:37,62.1564,-7.1664,282.66,87,75,5.14
173,Ouallam,NE,2022-08-31 21:47:38,14.3188,2.0866,303.94,55,100,3.92
174,Kure,JP,2022-08-31 21:47:38,34.2333,132.5667,300.55,90,87,1.58
175,Ascension,US,2022-08-31 21:47:39,30.2169,-90.9001,308.73,60,0,0.0
176,Svetlogorsk,BY,2022-08-31 21:47:40,52.6333,29.7333,282.8,66,17,2.94
177,Santa Marta,CO,2022-08-31 21:47:41,11.2408,-74.199,301.18,69,75,3.6
178,Torbay,CA,2022-08-31 21:47:41,47.6666,-52.7314,297.58,79,75,4.63
179,Taoudenni,ML,2022-08-31 21:47:42,22.6783,-3.9836,310.48,17,10,1.73
180,Atar,MR,2022-08-31 21:47:43,20.5169,-13.0499,306.2,47,53,3.13
181,Kitimat,CA,2022-08-31 21:47:44,54.0524,-128.6534,295.36,47,37,2.98
182,Zarate,AR,2022-08-31 21:47:44,-34.0981,-59.0286,292.5,65,73,2.24
183,Talaya,RU,2022-08-31 21:47:45,61.3833,152.75,286.83,61,55,2.89
184,Thompson,CA,2022-08-31 21:47:08,55.7435,-97.8558,284.24,66,100,2.57
185,Kuusamo,FI,2022-08-31 21:47:46,65.9667,29.1833,278.17,75,0,3.09
186,Vestmannaeyjar,IS,2022-08-31 21:47:47,63.4427,-20.2734,283.56,70,98,6.3
187,Snezhnogorsk,RU,2022-08-31 21:47:48,69.1933,33.2531,276.03,73,99,5.14
188,Yumen,CN,2022-08-31 21:47:48,40.2833,97.2,291.85,29,76,0.67
