City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Urumqi,CN,2022-08-28 00:37:57,43.801,87.6005,290.68,37,0,1.0
260,Robertsport,LR,2022-08-28 00:37:57,6.7533,-11.3686,297.08,92,100,7.16
261,Krasnoselkup,RU,2022-08-28 00:37:58,65.7,82.4667,276.26,86,100,5.91
262,Yerofey Pavlovich,RU,2022-08-28 00:37:59,53.9667,121.9667,287.69,84,68,2.18
263,Grindavik,IS,2022-08-28 00:37:59,63.8424,-22.4338,284.41,93,75,6.69
264,Eyl,SO,2022-08-28 00:38:00,7.9803,49.8164,297.01,74,2,8.44
265,George,ZA,2022-08-28 00:38:01,-33.963,22.4617,280.9,81,0,1.03
266,Carnarvon,AU,2022-08-28 00:38:02,-24.8667,113.6333,290.59,64,99,7.87
267,Lompoc,US,2022-08-28 00:38:04,34.6391,-120.4579,301.49,80,20,5.66
268,Itarema,BR,2022-08-28 00:38:04,-2.9248,-39.9167,298.4,84,7,7.79
269,Poum,NC,2022-08-28 00:38:05,-20.2333,164.0167,297.07,80,100,5.85
270,Slobidka,UA,2022-08-28 00:38:06,47.8869,29.3461,291.99,46,76,0.76
271,Souillac,MU,2022-08-28 00:38:07,-20.5167,57.5167,294.36,94,75,6.69
272,Ust-Nera,RU,2022-08-28 00:38:08,64.5667,143.2,285.9,63,100,2.34
273,Arlit,NE,2022-08-28 00:38:09,18.7369,7.3853,302.2,46,100,3.68
274,Solnechnyy,RU,2022-08-28 00:39:10,50.7214,136.6319,282.83,97,100,3.35
275,Glushkovo,RU,2022-08-28 00:39:13,51.3392,34.6328,295.24,28,100,3.75
276,New Norfolk,AU,2022-08-28 00:39:13,-42.7826,147.0587,288.1,74,0,0.89
277,Manicore,BR,2022-08-28 00:39:15,-5.8092,-61.3003,298.12,88,0,1.03
278,Sheregesh,RU,2022-08-28 00:39:15,52.9209,87.9869,280.4,92,100,1.57
279,Fort-Shevchenko,KZ,2022-08-28 00:39:16,44.5086,50.263,299.19,36,0,5.01
280,Sarangani,PH,2022-08-28 00:39:17,5.4033,125.4636,302.0,70,18,4.97
281,Sterling,US,2022-08-28 00:39:17,39.0062,-77.4286,301.63,71,40,3.09
282,Tiznit,MA,2022-08-28 00:39:18,29.5833,-9.5,291.73,78,0,0.69
283,Tobol,KZ,2022-08-28 00:39:18,52.6844,62.5794,288.44,77,3,2.66
284,Hemnesberget,NO,2022-08-28 00:39:19,66.2333,13.6333,283.55,92,100,4.62
285,Chabahar,IR,2022-08-28 00:39:20,25.2919,60.643,299.43,80,0,1.22
286,Alice Springs,AU,2022-08-28 00:39:21,-23.7,133.8833,288.9,25,100,2.06
287,Bowen,AU,2022-08-28 00:39:22,-20.0167,148.2333,295.51,74,100,9.27
288,Ilo,PE,2022-08-28 00:39:23,-17.6394,-71.3375,288.09,83,32,1.96
289,Bengkulu,ID,2022-08-28 00:39:24,-3.8004,102.2655,297.71,86,79,1.41
290,North Platte,US,2022-08-28 00:37:32,41.1239,-100.7654,306.09,36,0,2.24
291,Krasnaya Gora,RU,2022-08-28 00:39:25,52.9995,31.6023,289.1,48,91,3.6
292,Stawell,AU,2022-08-28 00:39:26,-37.05,142.7667,284.55,83,100,3.88
